brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,13700.0,BMWorld,2018.0,25427.0,1.0,manual,petrol,
Audi,13749.0,Cazoo,2017.0,20434.0,1.4,manual,petrol,-2119.033975825734
Audi,13749.0,Cazoo,2018.0,18250.0,1.4,manual,petrol,-4426.785807848693
Audi,13849.0,Cazoo,2018.0,15474.0,1.0,manual,petrol,-712.6830264188065
Audi,13899.0,Cazoo,2018.0,13526.0,1.0,manual,petrol,-829.134066268587
Audi,13900.0,BMWorld,2018.0,15161.0,1.4,manual,petrol,
Audi,13949.0,Cazoo,2018.0,16859.0,1.4,manual,petrol,-4345.642787536392
Audi,13950.0,Marshall,2018.0,29263.0,1.4,manual,petrol,-3931.6771374035343
Audi,13999.0,Cannock,2018.0,37487.0,1.6,manual,diesel,-3517.8705930540054
Audi,14099.0,Cazoo,2018.0,29690.0,1.4,manual,petrol,
Audi,14149.0,Cazoo,2018.0,19446.0,1.0,manual,petrol,
Audi,14149.0,Cazoo,2018.0,19071.0,1.4,manual,petrol,-3956.6337012180775
Audi,14400.0,BMWorld,2018.0,14399.0,1.4,manual,petrol,-4308.60635588576
Audi,14449.0,Cazoo,2018.0,13057.0,1.4,manual,petrol,-4170.512835539663
Audi,14449.0,Cazoo,2018.0,10513.0,1.4,manual,petrol,-4387.890374234663
Audi,14499.0,Cazoo,2018.0,13271.0,1.0,manual,petrol,-250.92308842555576
Audi,14650.0,Marshall,2018.0,18435.0,1.4,manual,petrol,
Audi,14849.0,Cazoo,2018.0,18531.0,1.4,manual,petrol,-3302.7751599035873
Audi,14849.0,Cazoo,2018.0,16457.0,1.4,manual,petrol,-3479.9925401134133
Audi,14900.0,Hilton,2017.0,21300.0,1.0,automatic,petrol,158.12002564492104
Audi,17300.0,BMWorld,2020.0,20163.0,1.0,manual,petrol,-1307.0554816304866
Audi,17972.0,Marshall,2020.0,14779.0,1.0,manual,petrol,-1538.2600695575748
Audi,18700.0,BMWorld,2020.0,27764.0,1.0,automatic,petrol,-1200.0275984221298
Audi,24999.0,Castle_Donington,2020.0,45094.0,1.5,automatic,petrol,1185.8705901632857
Audi,15749.0,Cazoo,2018.0,60112.0,1.5,manual,petrol,187.37659153084314
Audi,16600.0,BMWorld,2019.0,67476.0,1.5,manual,petrol,-657.2894831126978
